user_id,item_ids,mask,item_titles,replaced_item_titles,timestamp
1431,"[8383, 8397, 6917, 6572, 8674, 9437, 6895, 1157, 9164, 5023, 9782]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Underwater World 40 Piece Children's Puzzle Ball"", 'Bath Time 300 Piece Large Format Puzzle', 'BITS Family Game', 'African Splendor 500 Piece Puzzle', 'Animals in Africa, 1000-Pieces Augmented Reality Puzzle', 'Transformers Bot Shots Battle Game Battle For The Matrix Set', 'Ravensburger Lighthouse 216 Piece 3D Building Set', 'Dolphin Cove 500 Piece Puzzle', 'American Girl Crafts Star Spirit Hair Accessories Kit, McKenna Girl of The Year 2012', 'Ravensburger College of Magical Knowledge - 500 Piece Puzzle', 'Mega Bloks Barbie Pet Shop']",[],1360886400
5767,"[4354, 5322, 552, 5320, 5314, 6189, 1129, 7434, 7217, 7284, 2527]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['LeapFrog Leapster Carrying Case, Pink', 'LeapFrog  Leapster Explorer Leaplet Download Cards (set of 2)', 'Melissa &amp; Doug Classic Wooden Abacus', 'LeapFrogThe Penguins of Madagascar: Operation Plushy Rescue Learning Game (works with LeapPad Tablets and LeapsterGS)', 'LeapFrog Leapster Explorer Learning Game System, Green', 'LeapFrog Leapster Explorer Camera and Video Recorder (Attachment/Accessory Only)', 'Melissa &amp; Doug Deluxe Standing Easel', 'LeapFrog Digital  Download Card (works with all LeapPad Tablets, LeapsterGS and LeapReader)', 'Liv - Dance Doll - Sophie', 'Liv - Dance Doll - Hayden', 'Buffalo Games Puzzle Presto Peel &amp; Stick Puzzle Saver']",[],1326153600
7314,"[756, 838, 1108, 1461, 836]","[0, 0, 0, 0, 0]","['Hasbro Elefun', 'Little Touch LeapPad', 'Fisher Price Learning Home', 'Fisher Price Star Station Entertainment System', 'LeapFrog Fridge Phonics Magnetic Alphabet Set - Styles May Vary']",[],1136332800
16362,"[4904, 8318, 8320, 8325, 8854, 4492]","[0, 0, 0, 0, 0, 0]","['Lifetime Ace Flyer Teeter-Totter', 'Monster High Ghouls Rule Frankie Stein Doll', 'Monster High Ghouls Rule Draculaura Doll', 'Monster High Robecca Steam Doll', 'Monster High Doll Venus McFlytrap Daughter of the Plant Monster', 'Strap On LED Fingers - Set of 4']",[],1393286400
4322,"[5765, 1897, 3608, 5036, 7353, 2273, 8225, 3517, 6013, 7120, 7972]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Dinosaur Train Pop N Race Game', 'POOF-Slinky 0SA227 Scientific Explorer My First Dino Kit, 3-Activities', 'Hello Kitty Balloon Dreams Necklace Charm Flower - Each', 'Gund Tristen-T-Rex', 'Fisher-Price Kid-Tough Digital Camera, Blue', 'Toysmith Twinkle Toof Tooth, 3.5&quot;', 'Marvel The Avengers Gamma Green Smash Fists', 'Amscan Hello Kitty Party Favors Value Pack, 48-Piece', 'Webkinz Midnight Monster', 'American Girl Crafts Memory Book, Friends', 'LEGO Creator Prehistoric Hunters 6914']",[],1383609600
8527,"[956, 2516, 7402, 2215, 2590, 6325, 6508, 7680]","[0, 0, 0, 0, 0, 0, 0, 0]","['Educational Insights Design &amp; Drill Activity Center', 'Battat Take-A-Part Airplane', 'Candy Land - The World of Sweets Board Game', 'Polybag Asian Mountain 6 Pieces', 'Melissa &amp; Doug Deluxe Latches Board', 'Safari Print Zebra Leopard Tiger Cheetah Print Latex Party Supply Balloons', 'Learning Resources Jumbo Zoo Animals', 'William Mark Air Swimmer Flying Shark']",[],1379203200
5645,"[531, 1510, 777, 3928, 1754, 7058]","[0, 0, 0, 0, 0, 0]","['LeapFrog Discovery Ball', 'Plush Elmo Knows Your Name', 'Snap Circuits Jr. SC-100 Kit', 'Blokus Game', 'LeapFrog&reg; Leapster&reg; Learning Game System - Green', 'MindWare Q-Ba-Maze Cool Colors']",[],1356480000
9760,"[2935, 3585, 1848, 1343, 2493, 4654, 4996, 6014, 6064, 6860, 6862]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Melissa &amp; Doug Deluxe Grocery Store / Lemonade Stand', 'Melissa &amp; Doug Fairy Tale Friendship Floor Puzzle', 'HABA Orchard Game', 'Aurora Plush 12&quot; Perry Flopsie', 'Webkinz Pink Pony', 'Perplexus Maze Game by PlaSmart, Inc.', 'Playmobil 4858 Open Air Pool with Slide', 'Webkinz Okapi', 'Webkinz Pinktastic Peacock', 'VTech - Kidizoom Digital Camera - Pink', 'VTech - Kidizoom Digital Camera']",[],1360886400
14923,"[3242, 4375, 6463, 6168, 6310, 7129]","[0, 0, 0, 0, 0, 0]","['Plush Brushy Hamster 5&quot;', 'Franklin Sports Go Pro Youth Football Goal Post Set', 'Webkinz Cinnamon Mazin Hamster', 'Barbie Strollin Pups Playset', 'Webkinz Hope Mazin Hamster', 'Angry Birds Plush 5-Inch Red Bird with Sound']",[],1358899200
7856,"[2395, 3327, 2930, 4569, 840]","[0, 0, 0, 0, 0]","['Melissa &amp; Doug Deluxe 10-Piece Magnetic Fishing Game', 'Step2 All Star Sports Climber', 'Melissa &amp; Doug Dry-Erase Marker Set (4 pc)', 'CX Blaster Water Balloon Launcher - 200 Yard', '69&quot; x 69&quot; x 53&quot; Jump-o-Lene Castle Bouncer']",[],1368576000
12272,"[8386, 9440, 8654, 9353, 7791, 9137, 9562, 9779, 10087, 10254, 10737]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Race Through Space Children's Game"", 'Disney Prettiest Princess Castle', 'Fisher-Price Loving Family Dream Dollhouse with Caucasian Family', 'LeapFrog  Disney Phineas and Ferb Learning Game (Works with LeapFrog Tablets, LeapsterGS, and Leapster Explorer)', 'SmartLab Toys Squishy Head To Toe', 'MEEP! Android Kids Tablet', 'Zynga Cityville Monopoly Game', 'Mega Bloks Barbie Luxury Mansion', 'Melissa &amp; Doug Show-Horse Stable', 'FurReal Friends Cuddles My Giggly Monkey Pet', 'Disney Princess Holiday Princess Ariel Doll']",[],1375142400
